
12.31.2010|172|139|366|139
09.21.2014|412|149|1126|149
09.21.2014|153|7|272|7
09.21.2014|118|10|228|10
09.21.2014|142|81|235|81
09.22.2014|168|64|334|64
09.22.2014|268|77|542|77
09.22.2014|235|76|490|76
09.22.2014|258|108|520|108
09.22.2014|1712|425|5581|425
09.23.2014|1016|350|2326|350
09.24.2014|836|311|1899|311
10.12.2014|56|67|88|67
10.14.2014|48|64|71|64
10.16.2014|53|56|79|56
10.17.2014|236|102|363|102
10.18.2014|78|67|112|67
10.19.2014|47|53|66|53
10.21.2014|51|72|72|72
10.23.2014|42|63|49|63
10.25.2014|68|44|80|44
10.26.2014|76|41|101|41
10.27.2014|57|54|63|54
10.29.2014|58|39|94|39
10.30.2014|61|43|75|43
10.31.2014|44|54|65|54
11.02.2014|50|45|66|45
11.03.2014|48|46|62|46
11.05.2014|50|22|60|22
11.06.2014|57|96|74|96
11.09.2014|36|135|43|135
11.13.2014|37|128|60|128
11.15.2014|50|40|80|40
11.16.2014|47|104|68|104
11.18.2014|43|302|63|302
11.20.2014|20|64|23|64
